epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.1989,2.47423,5.62251,1.15784,0,0,0,0,1.59484,5.57142,1.00091,0.08119,0.00019,0.00019
2,116.46,2.2069,4.60061,1.04392,0,0,0,0,1.99059,5.36619,1.09041,0.0613899,0.000389905,0.000389905
3,169.239,2.08354,4.06492,1.02944,0.00143,0.00333,0.00142,0.00085,1.88704,4.82263,1.06648,0.0415894,0.000589424,0.000589424
4,216.653,2.10449,3.73754,1.03801,0.01119,0.09438,0.03103,0.02197,1.49684,4.05469,0.98419,0.0217883,0.000788265,0.000788265
5,267.269,2.01969,3.50545,1.01093,0.01394,0.12738,0.03696,0.02719,1.40437,3.61476,0.98086,0.00198614,0.000986136,0.000986136
6,320.601,1.94429,3.36273,1.01797,0.01562,0.15271,0.04266,0.02642,1.47964,3.2873,0.99766,0.000993906,0.000993906,0.000993906
7,370.092,1.86294,3.19645,1.00302,0.01652,0.15771,0.04692,0.03104,1.60391,3.23653,1.01837,0.000991232,0.000991232,0.000991232
8,433.717,1.89554,3.1375,1.01285,0.01771,0.11505,0.02555,0.01502,1.61139,3.38984,1.00674,0.000988079,0.000988079,0.000988079
9,487.838,1.8068,3.01018,0.98983,0.02033,0.11838,0.04399,0.02263,1.70875,2.96174,1.04084,0.000984449,0.000984449,0.000984449
10,545.88,1.79821,2.84777,0.99092,0.01467,0.12171,0.03932,0.02356,1.45268,2.99458,0.98568,0.000980345,0.000980345,0.000980345
11,601.824,1.72806,2.7157,0.98017,0.01513,0.11838,0.04434,0.02622,1.45387,2.87043,0.98545,0.000975773,0.000975773,0.000975773
12,655.206,1.71083,2.62883,0.98281,0.01823,0.13005,0.0512,0.03299,1.50479,2.80891,1.00201,0.000970736,0.000970736,0.000970736
13,718.777,1.60433,2.54246,0.96765,0.01628,0.11152,0.03946,0.01674,2.22489,3.07642,1.16438,0.000965239,0.000965239,0.000965239
14,777.851,1.61029,2.43559,0.9478,0.21856,0.07231,0.05383,0.03215,1.75761,2.68835,1.07235,0.000959289,0.000959289,0.000959289
15,843.187,1.58484,2.3464,0.95573,0.21852,0.09507,0.06018,0.03297,1.83967,2.70661,1.08155,0.000952889,0.000952889,0.000952889
16,901.406,1.60741,2.27364,0.96165,0.37997,0.06838,0.0795,0.05367,1.38117,2.36676,0.97469,0.000946048,0.000946048,0.000946048
17,965.355,1.53292,2.18207,0.94736,0.02475,0.14005,0.08043,0.04435,1.63785,2.51472,1.00903,0.000938772,0.000938772,0.000938772
18,1037.06,1.50341,2.10874,0.9418,0.55589,0.06352,0.07695,0.05717,1.21801,2.27377,0.95217,0.000931067,0.000931067,0.000931067
19,1088.58,1.43106,2.05616,0.92505,0.43475,0.04686,0.07291,0.05338,1.23462,2.33102,0.952,0.000922942,0.000922942,0.000922942
20,1149.92,1.41695,1.97628,0.93777,0.07853,0.13279,0.08406,0.05681,1.30426,2.4155,0.96741,0.000914405,0.000914405,0.000914405
21,1202.86,1.36972,1.95156,0.90684,0.52671,0.07286,0.07362,0.05029,1.25751,2.29536,0.9513,0.000905463,0.000905463,0.000905463
22,1260.62,1.38527,1.94426,0.92543,0.3343,0.09988,0.09229,0.06352,1.20355,2.13278,0.95637,0.000896127,0.000896127,0.000896127
23,1309.91,1.42623,1.8738,0.92734,0.4553,0.05952,0.07698,0.05241,1.31073,2.00974,0.97015,0.000886404,0.000886404,0.000886404
24,1359.98,1.38807,1.82937,0.91688,0.62515,0.05162,0.07926,0.05232,1.41339,2.15945,0.97424,0.000876305,0.000876305,0.000876305
25,1414.01,1.39439,1.79983,0.92163,0.68244,0.05186,0.08208,0.05561,1.37197,1.99084,0.96237,0.000865839,0.000865839,0.000865839
26,1471.95,1.34482,1.75795,0.91445,0.55166,0.06798,0.08442,0.05975,1.22584,1.93975,0.9745,0.000855018,0.000855018,0.000855018
27,1527.37,1.30738,1.69897,0.90363,0.55886,0.06952,0.08752,0.05664,1.27318,1.9209,0.9647,0.000843851,0.000843851,0.000843851
28,1591.71,1.32285,1.65492,0.89819,0.43807,0.09138,0.10606,0.0786,1.14709,1.84155,0.95318,0.000832349,0.000832349,0.000832349
29,1636.28,1.28358,1.56591,0.89213,0.77322,0.05231,0.06812,0.04959,1.25514,1.81908,0.95759,0.000820525,0.000820525,0.000820525
30,1693.17,1.25109,1.55267,0.89084,0.75685,0.05,0.06429,0.04645,1.23697,1.86173,0.96106,0.000808389,0.000808389,0.000808389
31,1747.61,1.2131,1.51416,0.89045,0.6976,0.07145,0.09727,0.06778,1.30821,1.71187,0.96071,0.000795954,0.000795954,0.000795954
32,1819.96,1.23118,1.48394,0.89539,0.77834,0.06925,0.09837,0.07624,1.11287,1.62075,0.94171,0.000783231,0.000783231,0.000783231
33,1878.55,1.26041,1.44812,0.9016,0.78093,0.07807,0.0958,0.07038,1.23853,1.56591,0.96843,0.000770234,0.000770234,0.000770234
34,1941.33,1.21182,1.42813,0.89316,0.67366,0.07752,0.09843,0.07495,1.14229,1.6275,0.94809,0.000756976,0.000756976,0.000756976
35,2007.91,1.23269,1.39757,0.89449,0.86117,0.06898,0.09446,0.07362,1.09766,1.58211,0.938,0.000743468,0.000743468,0.000743468
36,2061.59,1.21014,1.34816,0.8892,0.63111,0.07952,0.10108,0.0771,1.08746,1.52536,0.94063,0.000729725,0.000729725,0.000729725
37,2119.04,1.20457,1.33653,0.89526,0.59967,0.08952,0.09928,0.07416,1.08983,1.46412,0.94808,0.000715761,0.000715761,0.000715761
38,2165.42,1.20163,1.31841,0.88925,0.85269,0.07708,0.10456,0.08138,1.1049,1.47334,0.94679,0.000701588,0.000701588,0.000701588
39,2224.69,1.20559,1.24615,0.88498,0.86911,0.0707,0.10661,0.07784,1.15786,1.3856,0.9522,0.000687222,0.000687222,0.000687222
40,2275.62,1.21769,1.26566,0.8824,0.81638,0.07752,0.10761,0.08423,1.06496,1.30954,0.9352,0.000672675,0.000672675,0.000672675
41,2340.58,1.19089,1.24548,0.89019,0.86575,0.05685,0.08507,0.06143,1.15509,1.2854,0.94161,0.000657963,0.000657963,0.000657963
42,2412.51,1.19095,1.18619,0.89241,0.80038,0.08064,0.10918,0.07881,1.24492,1.34454,0.96785,0.000643101,0.000643101,0.000643101
43,2464.75,1.16164,1.14694,0.8883,0.85733,0.07952,0.11281,0.08455,1.17557,1.29487,0.95124,0.000628101,0.000628101,0.000628101
44,2526.12,1.18107,1.16399,0.88277,0.75865,0.07952,0.1122,0.08441,1.17538,1.30069,0.96371,0.000612981,0.000612981,0.000612981
45,2593.31,1.18649,1.13835,0.87991,0.8403,0.09105,0.1376,0.10337,1.16088,1.24184,0.94441,0.000597754,0.000597754,0.000597754
46,2661.67,1.17369,1.08922,0.88512,0.79687,0.07752,0.11121,0.08627,1.04534,1.21385,0.9372,0.000582435,0.000582435,0.000582435
47,2732.9,1.17177,1.09087,0.88253,0.83893,0.07952,0.10728,0.08491,1.057,1.15054,0.9389,0.00056704,0.00056704,0.00056704
